params,mean_test_score,std_test_score
"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 5}",0.8844115755058521,0.017898524273761533
"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 10}",0.8795676533705006,0.018640632835231426
"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 20}",0.8762313536247385,0.01873353998499611
"{'criterion': 'gini', 'max_depth': 6, 'min_samples_split': 5}",0.8710380331042155,0.023200048347619965
"{'criterion': 'gini', 'max_depth': 6, 'min_samples_split': 10}",0.8679874885616414,0.02800764351909293
"{'criterion': 'gini', 'max_depth': 6, 'min_samples_split': 20}",0.8624650413142447,0.03377918554571145
"{'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 5}",0.8708395223948846,0.02562560846119988
"{'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 10}",0.8731325263321953,0.026931287114108603
"{'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 20}",0.8682447876007293,0.0350113534044354
"{'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 5}",0.843535796067016,0.02437033963544534
"{'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 10}",0.8399625674393345,0.02148951932567759
"{'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 20}",0.8402245246179376,0.013774962854728106
"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}",0.8398714710242972,0.030574785127032943
"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",0.8370070944021482,0.02826364873725576
"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 20}",0.8366171544832625,0.020507052312211817
"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 5}",0.8821394861299383,0.015875609410812477
"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 10}",0.8821394861299383,0.015875609410812477
"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 20}",0.8821394861299383,0.015875609410812477
"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 5}",0.8788881757888823,0.030933783949939595
"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 10}",0.8810526779533845,0.027047762597737186
"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 20}",0.8796183252050621,0.027705409360002913
"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_split': 5}",0.8420203828681538,0.036061021692000976
"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_split': 10}",0.8565641840073986,0.04466658879855153
"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_split': 20}",0.8767217379780641,0.040609189024172265
"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_split': 5}",0.8279431655459601,0.028278678302743394
"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_split': 10}",0.8527964475270429,0.04181749840857951
"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_split': 20}",0.8774830696507065,0.03385814704235376
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",0.8361870559433114,0.032270441399227745
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",0.8478174517444177,0.04388609842990566
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 20}",0.8704683993758169,0.03961829724380063
